3c36c5f, NancyLi0637, 2 days ago, fixed icon error
fbe7d4e, Jiayi Su, 2 days ago, Add missing Javadoc in User, Minor fix of addFriend() method in User
3ae5bee, hardygu, 3 days ago, icon change
da7b584, NancyLi0637, 3 days ago, Merge remote-tracking branch 'origin/master'
696d163, NancyLi0637, 3 days ago, added organizer search
16a63f6, NancyLi0637, 3 days ago, -fixed attendee search
29fd25a, NancyLi0637, 3 days ago, -updated account num of users
827f0eb, Jiayi Su, 3 days ago, Merge remote-tracking branch 'origin/master'
afcbd6f, Jiayi Su, 3 days ago, Finish Javadoc in the project files
5f0c8ba, Jiayi Su, 3 days ago, Finish Javadoc in use case classes
29ab5ca, Jiayi Su, 3 days ago, Finish Javadoc in eventSystem
9d7890f, Deshang Kong, 3 days ago, Deleted import android.graphics.fonts.SystemFonts;
53c4e91, Jiayi Su, 3 days ago, Minor change and Javadoc
0bad513, NancyLi0637, 4 days ago, -code clean up
b12ceaf, NancyLi0637, 4 days ago, -fixed minor bug and updated color
0189ce6, NancyLi0637, 4 days ago, room cap update
4578193, NancyLi0637, 4 days ago, finished before debugging
b207b03, NancyLi0637, 4 days ago, updated image
fa2b3be, NancyLi0637, 4 days ago, updated color
d3a04c1, NancyLi0637, 4 days ago, implemented event image
2289976, NancyLi0637, 4 days ago, implemented nav view
c29be98, NancyLi0637, 4 days ago, updated nav pic
302a38a, NancyLi0637, 5 days ago, fixed create event time duration limit
5e0662c, NancyLi0637, 5 days ago, fixed minor adding friend error
ba43058, NancyLi0637, 5 days ago, implemented add friend for attendee
5107e3f, NancyLi0637, 5 days ago, implemented contact for attendee and fixed minor contact errors
2658405, NancyLi0637, 5 days ago, implemented view message and send message
4223e2e, NancyLi0637, 5 days ago, Merge remote-tracking branch 'origin/master'
24eeb47, NancyLi0637, 5 days ago, fixed errors on gateway and creating events
21b5a6c, NancyLi0637, 5 days ago, fixed file saving and conversation manager
6caa1be, Jiayi Su, 5 days ago, Merge remote-tracking branch 'origin/master'
1595fb7, Jiayi Su, 5 days ago, Minor fix and Javadoc in files in accountSystem
fb6e1cb, NancyLi0637, 5 days ago, minor change on button position
720eec1, NancyLi0637, 5 days ago, added sending announcement upon event cancel
81d26de, NancyLi0637, 5 days ago, implemented add speaker function
b618aec, NancyLi0637, 5 days ago, implemented partial speaker contact and added speaker send announcement
0c8b467, NancyLi0637, 5 days ago, fixed minor error in eventmanager and eventfactory
206ce34, NancyLi0637, 5 days ago, added user info stat
e450564, NancyLi0637, 6 days ago, added event enrollment stat
68698aa, NancyLi0637, 6 days ago, added top 5 events feature
56647ca, Jiayi Su, 6 days ago, Minor fix and Javadoc in files in contactSystem
bb50c7d, NancyLi0637, 6 days ago, Merge remote-tracking branch 'origin/master'
74d5f7e, NancyLi0637, 6 days ago, added change room capacity feature
49221a6, NancyLi0637, 6 days ago, implemented create account by organizer
d4b5253, Jiayi Su, 6 days ago, Add README guidelines summary
03f151c, NancyLi0637, 6 days ago, implemented vipuser system
24c3bef, NancyLi0637, 6 days ago, Merge remote-tracking branch 'origin/master'
469007b, NancyLi0637, 6 days ago, complete announcement system
e734a68, NancyLi0637, 7 days ago, announcementactivity partially done
3d62fad, Jiayi Su, 7 days ago, More Javadoc in contactSystem
1697a78, Jiayi Su, 7 days ago, Javadoc in contactSystem
1aba8ce, NancyLi0637, 7 days ago, 95% event system
c3fcad1, NancyLi0637, 7 days ago, finished event system for organizer
ba32cfb, NancyLi0637, 7 days ago, finished event system for organizer
495907c, NancyLi0637, 7 days ago, update on msgsystem
a7bbd8c, NancyLi0637, 8 days ago, file clean up
2a21fde, NancyLi0637, 8 days ago, file clean up
b2d8dda, Jiayi Su, 8 days ago, Merge remote-tracking branch 'origin/master'
28df9b8, Jiayi Su, 8 days ago, CancelEvent and removeAttendeeFromEvent onClick in OrganizerEventContentActivity.java
b3df253, xiaotonghuang, 8 days ago, minor change
52d31bb, xiaotonghuang, 8 days ago, Merge remote-tracking branch 'origin/master' into master
a23e94e, xiaotonghuang, 8 days ago, minor change
6dad935, Jiayi Su, 8 days ago, Fix: check valid duration in EventManager and Javadoc
59031f0, Jiayi Su, 8 days ago, Merge remote-tracking branch 'origin/master'
628073e, Jiayi Su, 8 days ago, Check valid duration in EventManager
6674161, xiaotonghuang, 8 days ago, Merge remote-tracking branch 'origin/master' into master
3a5d27c, xiaotonghuang, 8 days ago, minor change
7695879, Jiayi Su, 8 days ago, Merge remote-tracking branch 'origin/master'
2b78dbf, Jiayi Su, 8 days ago, More comments in eventSystem
045f680, xiaotonghuang, 8 days ago, minor change
d302909, xiaotonghuang, 8 days ago, Merge remote-tracking branch 'origin/master' into master
b6dc474, xiaotonghuang, 8 days ago, minor change
a606d76, Jiayi Su, 8 days ago, Merge remote-tracking branch 'origin/master'
48ba192, Jiayi Su, 8 days ago, Comment and Javadoc in the project
69179a1, xiaotonghuang, 8 days ago, minor change
6b7ce6d, xiaotonghuang, 8 days ago, minor change
26dd9c7, Jiayi Su, 8 days ago, Merge remote-tracking branch 'origin/master'
11785d0, Jiayi Su, 8 days ago, Add other Javadoc in the project
